Year,Sem,College,Dept,Num,Section,Instructor,Course Name,Course Level,Total # Students,# Responses,Response Rate,Hrs Per Week,Interest in student learning,Clearly explain course requirements,Clear learning objectives & goals,Instructor provides feedback to students to improve,Demonstrate importance of subject matter,Explains subject matter of course,Show respect for all students,Overall teaching rate,Overall course rate
2025,Spring,College of Fine Arts,ARC,48692,A,"SAWYER, AZADEH",SHAPING DAYLIGHT,Graduate,23,14,60.9%,7.57,4.79,4.64,4.79,4.43,4.93,4.93,4.93,4.71,4.57
2025,Spring,College of Fine Arts,ARC,48699,A4,"NEWMAN- PERRY, MORGAN",ETHICS,Graduate,11,4,36.4%,2.75,5.00,5.00,5.00,4.00,5.00,4.75,5.00,4.75,5.00
2025,Spring,College of Fine Arts,ARC,48706,A,"DANES, STEFANI",URBAN STUDIO II,Graduate,7,5,71.4%,17.40,5.00,4.60,5.00,5.00,5.00,4.80,4.80,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48708,A,"KLINE, JONATHAN",MUD STUDIO IV,Graduate,9,3,33.3%,17.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48711,B,"LEE, JOSHUA",PARADGMS RESCH ARCH,Graduate,34,20,58.8%,7.25,4.85,4.80,4.75,4.85,4.85,4.85,4.95,4.80,4.55
2025,Spring,College of Fine Arts,ARC,48711,C,"LEE, JOSHUA",PARADGMS RESCH ARCH,Graduate,12,9,75.0%,9.00,4.89,4.78,4.78,4.33,4.67,4.78,5.00,4.78,4.44
2025,Spring,College of Fine Arts,ARC,48711,D,"LEE, JOSHUA",PARADGMS RESCH ARCH,Graduate,3,2,66.7%,12.50,5.00,5.00,5.00,4.50,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48712,A,"GRUBER, STEFAN",MUD GRAD SEM II: GLO,Graduate,7,5,71.4%,4.40,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48713,A,"MONDOR, CHRISTINE",MUD URB EC,Graduate,13,8,61.5%,8.38,4.88,4.88,4.88,5.00,5.00,5.00,5.00,5.00,5.00
2025,Spring,College of Fine Arts,ARC,48715,A,"BYRNE, DARAGH",MSCD PRE-THESIS 1,Graduate,15,12,80.0%,7.25,4.83,4.92,5.00,4.92,5.00,4.92,4.92,4.92,4.92
2025,Spring,College of Fine Arts,ARC,48721,A,"ZHAO, Tiancheng",BCD,Graduate,5,3,60.0%,6.00,2.67,3.00,2.67,3.00,3.33,3.00,3.67,3.00,3.00
2025,Spring,College of Fine Arts,ARC,48722,A,"PAN, YIQUN",BPM,Graduate,22,20,90.9%,8.80,4.60,4.35,4.35,4.10,4.53,4.26,5.00,4.21,4.37
